Frequence = 10 Ghz;
N = 8784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000265054; Faza = 159.284 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
719   X = 20 mm; Y = 499 mm; Amplitude = 0; Faza = 65.0245 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
720   X = 20 mm; Y = 499 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
721   X = 20 mm; Y = 501 mm; Amplitude = 0; Faza = 73.8313 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
722   X = 20 mm; Y = 501 mm; Amplitude = 0; Faza = 64.2602 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
723   X = 20 mm; Y = 501 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
724   X = 20 mm; Y = 503 mm; Amplitude = 0; Faza = 71.9906 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
725   X = 20 mm; Y = 503 mm; Amplitude = 0; Faza = 62.718 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
726   X = 20 mm; Y = 503 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
727   X = 20 mm; Y = 505 mm; Amplitude = 0; Faza = 69.3512 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
728   X = 20 mm; Y = 505 mm; Amplitude = 0; Faza = 60.5162 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
729   X = 20 mm; Y = 505 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
730   X = 20 mm; Y = 507 mm; Amplitude = 0; Faza = 66.0257 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
731   X = 20 mm; Y = 507 mm; Amplitude = 0; Faza = 57.766 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
732   X = 20 mm; Y = 507 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
733   X = 20 mm; Y = 509 mm; Amplitude = 0; Faza = 62.1385 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
734   X = 20 mm; Y = 509 mm; Amplitude = 0; Faza = 54.5859 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
735   X = 20 mm; Y = 509 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
736   X = 20 mm; Y = 511 mm; Amplitude = 0; Faza = 57.8138 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
737   X = 20 mm; Y = 511 mm; Amplitude = 0; Faza = 51.0942 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
738   X = 20 mm; Y = 511 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
739   X = 20 mm; Y = 513 mm; Amplitude = 0; Faza = 53.1683 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
740   X = 20 mm; Y = 513 mm; Amplitude = 0; Faza = 47.4047 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
741   X = 20 mm; Y = 513 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
742   X = 20 mm; Y = 515 mm; Amplitude = 0; Faza = 48.3084 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
743   X = 20 mm; Y = 515 mm; Amplitude = 0; Faza = 43.6258 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
744   X = 20 mm; Y = 515 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
745   X = 20 mm; Y = 517 mm; Amplitude = 0; Faza = 43.3321 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
746   X = 20 mm; Y = 517 mm; Amplitude = 0; Faza = 39.8621 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
747   X = 20 mm; Y = 517 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
748   X = 20 mm; Y = 519 mm; Amplitude = 0; Faza = 38.3361 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
749   X = 20 mm; Y = 519 mm; Amplitude = 0; Faza = 36.2164 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
750   X = 20 mm; Y = 519 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
751   X = 20 mm; Y = 521 mm; Amplitude = 0; Faza = 33.426 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
752   X = 20 mm; Y = 521 mm; Amplitude = 0; Faza = 32.7932 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
753   X = 20 mm; Y = 521 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
754   X = 20 mm; Y = 523 mm; Amplitude = 0; Faza = 28.7302 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
755   X = 20 mm; Y = 523 mm; Amplitude = 0; Faza = 29.7004 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
756   X = 20 mm; Y = 523 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
757   X = 20 mm; Y = 525 mm; Amplitude = 0; Faza = 24.417 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
758   X = 20 mm; Y = 525 mm; Amplitude = 0; Faza = 27.0494 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
759   X = 20 mm; Y = 525 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
760   X = 20 mm; Y = 527 mm; Amplitude = 0; Faza = 20.7125 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
761   X = 20 mm; Y = 527 mm; Amplitude = 0; Faza = 24.9512 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
762   X = 20 mm; Y = 527 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
763   X = 20 mm; Y = 529 mm; Amplitude = 0; Faza = 17.9171 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
764   X = 20 mm; Y = 529 mm; Amplitude = 0; Faza = 23.5078 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
765   X = 20 mm; Y = 529 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
766   X = 20 mm; Y = 531 mm; Amplitude = 0; Faza = 16.406 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
767   X = 20 mm; Y = 531 mm; Amplitude = 0; Faza = 22.7955 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
768   X = 20 mm; Y = 531 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
769   X = 20 mm; Y = 533 mm; Amplitude = 0; Faza = 16.5816 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
770   X = 20 mm; Y = 533 mm; Amplitude = 0; Faza = 22.8411 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
771   X = 20 mm; Y = 533 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
772   X = 20 mm; Y = 535 mm; Amplitude = 0; Faza = 18.7195 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
773   X = 20 mm; Y = 535 mm; Amplitude = 0; Faza = 23.5941 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
774   X = 20 mm; Y = 535 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
775   X = 20 mm; Y = 537 mm; Amplitude = 0; Faza = 22.6773 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
776   X = 20 mm; Y = 537 mm; Amplitude = 0; Faza = 24.9086 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
777   X = 20 mm; Y = 537 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
778   X = 20 mm; Y = 539 mm; Amplitude = 0; Faza = 27.6491 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
779   X = 20 mm; Y = 539 mm; Amplitude = 0; Faza = 26.5507 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
780   X = 20 mm; Y = 539 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
781   X = 20 mm; Y = 541 mm; Amplitude = 0; Faza = 32.3803 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
782   X = 20 mm; Y = 541 mm; Amplitude = 0; Faza = 28.2411 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
783   X = 20 mm; Y = 541 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
784   X = 20 mm; Y = 543 mm; Amplitude = 0; Faza = 35.833 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
785   X = 20 mm; Y = 543 mm; Amplitude = 0; Faza = 29.7193 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
786   X = 20 mm; Y = 543 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
787   X = 20 mm; Y = 545 mm; Amplitude = 0; Faza = 37.6088 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
788   X = 20 mm; Y = 545 mm; Amplitude = 0; Faza = 30.7986 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
789   X = 20 mm; Y = 545 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
790   X = 20 mm; Y = 547 mm; Amplitude = 0; Faza = 37.8286 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
791   X = 20 mm; Y = 547 mm; Amplitude = 0; Faza = 31.3907 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
792   X = 20 mm; Y = 547 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
793   X = 20 mm; Y = 549 mm; Amplitude = 0; Faza = 36.8327 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
794   X = 20 mm; Y = 549 mm; Amplitude = 0; Faza = 31.4967 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
795   X = 20 mm; Y = 549 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
796   X = 20 mm; Y = 551 mm; Amplitude = 0; Faza = 34.991 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
797   X = 20 mm; Y = 551 mm; Amplitude = 0; Faza = 31.1828 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
798   X = 20 mm; Y = 551 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
799   X = 20 mm; Y = 553 mm; Amplitude = 0; Faza = 32.6382 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
800   X = 20 mm; Y = 553 mm; Amplitude = 0; Faza = 30.5533 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
801   X = 20 mm; Y = 553 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
802   X = 20 mm; Y = 555 mm; Amplitude = 0; Faza = 30.0718 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
803   X = 20 mm; Y = 555 mm; Amplitude = 0; Faza = 29.7296 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
804   X = 20 mm; Y = 555 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
805   X = 20 mm; Y = 557 mm; Amplitude = 0; Faza = 27.5698 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
806   X = 20 mm; Y = 557 mm; Amplitude = 0; Faza = 28.8353 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
807   X = 20 mm; Y = 557 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
808   X = 20 mm; Y = 559 mm; Amplitude = 0; Faza = 25.4068 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
809   X = 20 mm; Y = 559 mm; Amplitude = 0; Faza = 27.986 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
810   X = 20 mm; Y = 559 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
811   X = 20 mm; Y = 561 mm; Amplitude = 0; Faza = 23.8558 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
812   X = 20 mm; Y = 561 mm; Amplitude = 0; Faza = 27.2817 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
813   X = 20 mm; Y = 561 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
814   X = 20 mm; Y = 563 mm; Amplitude = 0; Faza = 23.1663 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
815   X = 20 mm; Y = 563 mm; Amplitude = 0; Faza = 26.7998 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
816   X = 20 mm; Y = 563 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
817   X = 20 mm; Y = 565 mm; Amplitude = 0; Faza = 23.5071 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
818   X = 20 mm; Y = 565 mm; Amplitude = 0; Faza = 26.5876 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
819   X = 20 mm; Y = 565 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
820   X = 20 mm; Y = 567 mm; Amplitude = 0; Faza = 24.8785 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
821   X = 20 mm; Y = 567 mm; Amplitude = 0; Faza = 26.6576 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
822   X = 20 mm; Y = 567 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
823   X = 20 mm; Y = 569 mm; Amplitude = 0; Faza = 27.0375 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
824   X = 20 mm; Y = 569 mm; Amplitude = 0; Faza = 26.9834 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
825   X = 20 mm; Y = 569 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
826   X = 20 mm; Y = 571 mm; Amplitude = 0; Faza = 29.5164 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
827   X = 20 mm; Y = 571 mm; Amplitude = 0; Faza = 27.5021 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
828   X = 20 mm; Y = 571 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
829   X = 20 mm; Y = 573 mm; Amplitude = 0; Faza = 31.7729 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
830   X = 20 mm; Y = 573 mm; Amplitude = 0; Faza = 28.1233 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
831   X = 20 mm; Y = 573 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
832   X = 20 mm; Y = 575 mm; Amplitude = 0; Faza = 33.3858 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
833   X = 20 mm; Y = 575 mm; Amplitude = 0; Faza = 28.7448 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
834   X = 20 mm; Y = 575 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
835   X = 20 mm; Y = 577 mm; Amplitude = 0; Faza = 34.1575 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
836   X = 20 mm; Y = 577 mm; Amplitude = 0; Faza = 29.2709 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
837   X = 20 mm; Y = 577 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
838   X = 20 mm; Y = 579 mm; Amplitude = 0; Faza = 34.0927 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
839   X = 20 mm; Y = 579 mm; Amplitude = 0; Faza = 29.6293 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
840   X = 20 mm; Y = 579 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
841   X = 20 mm; Y = 581 mm; Amplitude = 0; Faza = 33.322 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
842   X = 20 mm; Y = 581 mm; Amplitude = 0; Faza = 29.781 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
843   X = 20 mm; Y = 581 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
844   X = 20 mm; Y = 583 mm; Amplitude = 0; Faza = 32.035 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
845   X = 20 mm; Y = 583 mm; Amplitude = 0; Faza = 29.7229 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
846   X = 20 mm; Y = 583 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
847   X = 20 mm; Y = 585 mm; Amplitude = 0; Faza = 30.4432 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
848   X = 20 mm; Y = 585 mm; Amplitude = 0; Faza = 29.4834 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
849   X = 20 mm; Y = 585 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
850   X = 20 mm; Y = 587 mm; Amplitude = 0; Faza = 28.766 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
851   X = 20 mm; Y = 587 mm; Amplitude = 0; Faza = 29.1144 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
852   X = 20 mm; Y = 587 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
853   X = 20 mm; Y = 589 mm; Amplitude = 0; Faza = 27.225 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
854   X = 20 mm; Y = 589 mm; Amplitude = 0; Faza = 28.6807 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
855   X = 20 mm; Y = 589 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
856   X = 20 mm; Y = 591 mm; Amplitude = 0; Faza = 26.0356 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
857   X = 20 mm; Y = 591 mm; Amplitude = 0; Faza = 28.2512 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
858   X = 20 mm; Y = 591 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
859   X = 20 mm; Y = 593 mm; Amplitude = 0; Faza = 25.3872 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
860   X = 20 mm; Y = 593 mm; Amplitude = 0; Faza = 27.8888 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
861   X = 20 mm; Y = 593 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
862   X = 20 mm; Y = 595 mm; Amplitude = 0; Faza = 25.4068 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
863   X = 20 mm; Y = 595 mm; Amplitude = 0; Faza = 27.6439 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
864   X = 20 mm; Y = 595 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
865   X = 20 mm; Y = 597 mm; Amplitude = 0; Faza = 26.1129 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
866   X = 20 mm; Y = 597 mm; Amplitude = 0; Faza = 27.5474 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
867   X = 20 mm; Y = 597 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
868   X = 20 mm; Y = 599 mm; Amplitude = 0; Faza = 27.3819 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
869   X = 20 mm; Y = 599 mm; Amplitude = 0; Faza = 27.6068 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
870   X = 20 mm; Y = 599 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
871   X = 20 mm; Y = 601 mm; Amplitude = 0; Faza = 28.9569 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
872   X = 20 mm; Y = 601 mm; Amplitude = 0; Faza = 27.8052 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
873   X = 20 mm; Y = 601 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
874   X = 20 mm; Y = 603 mm; Amplitude = 0; Faza = 30.5152 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
875   X = 20 mm; Y = 603 mm; Amplitude = 0; Faza = 28.1035 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
876   X = 20 mm; Y = 603 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
877   X = 20 mm; Y = 605 mm; Amplitude = 0; Faza = 31.7649 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
878   X = 20 mm; Y = 605 mm; Amplitude = 0; Faza = 28.4467 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
879   X = 20 mm; Y = 605 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
880   X = 20 mm; Y = 607 mm; Amplitude = 0; Faza = 32.5172 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
881   X = 20 mm; Y = 607 mm; Amplitude = 0; Faza = 28.7741 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
882   X = 20 mm; Y = 607 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
883   X = 20 mm; Y = 609 mm; Amplitude = 0; Faza = 32.7053 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
884   X = 20 mm; Y = 609 mm; Amplitude = 0; Faza = 29.0299 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
885   X = 20 mm; Y = 609 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
886   X = 20 mm; Y = 611 mm; Amplitude = 0; Faza = 32.3631 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
887   X = 20 mm; Y = 611 mm; Amplitude = 0; Faza = 29.1736 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
888   X = 20 mm; Y = 611 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
889   X = 20 mm; Y = 613 mm; Amplitude = 0; Faza = 31.5909 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
890   X = 20 mm; Y = 613 mm; Amplitude = 0; Faza = 29.1858 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
891   X = 20 mm; Y = 613 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
892   X = 20 mm; Y = 615 mm; Amplitude = 0; Faza = 30.5288 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
893   X = 20 mm; Y = 615 mm; Amplitude = 0; Faza = 29.0705 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
894   X = 20 mm; Y = 615 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
895   X = 20 mm; Y = 617 mm; Amplitude = 0; Faza = 29.339 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
896   X = 20 mm; Y = 617 mm; Amplitude = 0; Faza = 28.8524 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
897   X = 20 mm; Y = 617 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
898   X = 20 mm; Y = 619 mm; Amplitude = 0; Faza = 28.195 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
899   X = 20 mm; Y = 619 mm; Amplitude = 0; Faza = 28.5712 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
900   X = 20 mm; Y = 619 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
901   X = 20 mm; Y = 621 mm; Amplitude = 0; Faza = 27.2688 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
902   X = 20 mm; Y = 621 mm; Amplitude = 0; Faza = 28.2742 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
903   X = 20 mm; Y = 621 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
904   X = 20 mm; Y = 623 mm; Amplitude = 0; Faza = 26.7116 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
905   X = 20 mm; Y = 623 mm; Amplitude = 0; Faza = 28.0098 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
906   X = 20 mm; Y = 623 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
907   X = 20 mm; Y = 625 mm; Amplitude = 0; Faza = 26.626 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
908   X = 20 mm; Y = 625 mm; Amplitude = 0; Faza = 27.8191 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
909   X = 20 mm; Y = 625 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
910   X = 20 mm; Y = 627 mm; Amplitude = 0; Faza = 27.0353 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
911   X = 20 mm; Y = 627 mm; Amplitude = 0; Faza = 27.7315 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
912   X = 20 mm; Y = 627 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
913   X = 20 mm; Y = 629 mm; Amplitude = 0; Faza = 27.8636 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
