Frequence = 10 Ghz;
N = 9084;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000450778; Faza = -151.902 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
2615   X = 1984 mm; Y = 699 mm; Amplitude = 0.00373507; Faza = -208.704 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2616   X = 1984 mm; Y = 699 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2617   X = 1984 mm; Y = 701 mm; Amplitude = 0.00371854; Faza = 144.863 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2618   X = 1984 mm; Y = 701 mm; Amplitude = 0.00361129; Faza = -215.181 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2619   X = 1984 mm; Y = 701 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2620   X = 1984 mm; Y = 703 mm; Amplitude = 0.00366017; Faza = 136.024 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2621   X = 1984 mm; Y = 703 mm; Amplitude = 0.0035339; Faza = -222.103 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2622   X = 1984 mm; Y = 703 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2623   X = 1984 mm; Y = 705 mm; Amplitude = 0.00369489; Faza = 127.479 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2624   X = 1984 mm; Y = 705 mm; Amplitude = 0.00351576; Faza = -229.093 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2625   X = 1984 mm; Y = 705 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2626   X = 1984 mm; Y = 707 mm; Amplitude = 0.00381097; Faza = 119.961 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2627   X = 1984 mm; Y = 707 mm; Amplitude = 0.00355946; Faza = -235.706 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2628   X = 1984 mm; Y = 707 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2629   X = 1984 mm; Y = 709 mm; Amplitude = 0.00398218; Faza = 113.904 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2630   X = 1984 mm; Y = 709 mm; Amplitude = 0.0036574; Faza = -241.563 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2631   X = 1984 mm; Y = 709 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2632   X = 1984 mm; Y = 711 mm; Amplitude = 0.0041783; Faza = 109.396 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2633   X = 1984 mm; Y = 711 mm; Amplitude = 0.00379497; Faza = -246.454 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2634   X = 1984 mm; Y = 711 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2635   X = 1984 mm; Y = 713 mm; Amplitude = 0.00437302; Faza = 106.287 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2636   X = 1984 mm; Y = 713 mm; Amplitude = 0.00395475; Faza = -250.351 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2637   X = 1984 mm; Y = 713 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2638   X = 1984 mm; Y = 715 mm; Amplitude = 0.00454698; Faza = 104.316 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2639   X = 1984 mm; Y = 715 mm; Amplitude = 0.00411967; Faza = -253.362 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2640   X = 1984 mm; Y = 715 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2641   X = 1984 mm; Y = 717 mm; Amplitude = 0.00468754; Faza = 103.181 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2642   X = 1984 mm; Y = 717 mm; Amplitude = 0.0042747; Faza = -255.673 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2643   X = 1984 mm; Y = 717 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2644   X = 1984 mm; Y = 719 mm; Amplitude = 0.00478704; Faza = 102.58 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2645   X = 1984 mm; Y = 719 mm; Amplitude = 0.00440731; Faza = -257.5 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2646   X = 1984 mm; Y = 719 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2647   X = 1984 mm; Y = 721 mm; Amplitude = 0.00484102; Faza = 102.221 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2648   X = 1984 mm; Y = 721 mm; Amplitude = 0.00450747; Faza = -259.061 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2649   X = 1984 mm; Y = 721 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2650   X = 1984 mm; Y = 723 mm; Amplitude = 0.00484708; Faza = 101.822 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2651   X = 1984 mm; Y = 723 mm; Amplitude = 0.00456768; Faza = -260.562 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2652   X = 1984 mm; Y = 723 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2653   X = 1984 mm; Y = 725 mm; Amplitude = 0.00480467; Faza = 101.115 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2654   X = 1984 mm; Y = 725 mm; Amplitude = 0.00458328; Faza = -262.196 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2655   X = 1984 mm; Y = 725 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2656   X = 1984 mm; Y = 727 mm; Amplitude = 0.00471591; Faza = 99.8469 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2657   X = 1984 mm; Y = 727 mm; Amplitude = 0.00455298; Faza = -264.14 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2658   X = 1984 mm; Y = 727 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2659   X = 1984 mm; Y = 729 mm; Amplitude = 0.00458702; Faza = 97.7773 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2660   X = 1984 mm; Y = 729 mm; Amplitude = 0.00447947; Faza = -266.555 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2661   X = 1984 mm; Y = 729 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2662   X = 1984 mm; Y = 731 mm; Amplitude = 0.0044298; Faza = 94.6925 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2663   X = 1984 mm; Y = 731 mm; Amplitude = 0.00436991; Faza = -269.583 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2664   X = 1984 mm; Y = 731 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2665   X = 1984 mm; Y = 733 mm; Amplitude = 0.0042624; Faza = 90.4314 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2666   X = 1984 mm; Y = 733 mm; Amplitude = 0.00423595; Faza = 86.6623 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2667   X = 1984 mm; Y = 733 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2668   X = 1984 mm; Y = 735 mm; Amplitude = 0.00410841; Faza = 84.9399 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2669   X = 1984 mm; Y = 735 mm; Amplitude = 0.00409302; Faza = 82.1193 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2670   X = 1984 mm; Y = 735 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2671   X = 1984 mm; Y = 737 mm; Amplitude = 0.0039931; Faza = 78.3463 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2672   X = 1984 mm; Y = 737 mm; Amplitude = 0.00395851; Faza = 76.8087 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2673   X = 1984 mm; Y = 737 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2674   X = 1984 mm; Y = 739 mm; Amplitude = 0.00393693; Faza = 71.0127 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2675   X = 1984 mm; Y = 739 mm; Amplitude = 0.00384881; Faza = 70.8666 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2676   X = 1984 mm; Y = 739 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2677   X = 1984 mm; Y = 741 mm; Amplitude = 0.00394804; Faza = 63.4908 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2678   X = 1984 mm; Y = 741 mm; Amplitude = 0.00377564; Faza = 64.5533 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2679   X = 1984 mm; Y = 741 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2680   X = 1984 mm; Y = 743 mm; Amplitude = 0.00401824; Faza = 56.3626 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2681   X = 1984 mm; Y = 743 mm; Amplitude = 0.0037429; Faza = 58.2152 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2682   X = 1984 mm; Y = 743 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2683   X = 1984 mm; Y = 745 mm; Amplitude = 0.00412533; Faza = 50.0615 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2684   X = 1984 mm; Y = 745 mm; Amplitude = 0.00374566; Faza = 52.2032 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2685   X = 1984 mm; Y = 745 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2686   X = 1984 mm; Y = 747 mm; Amplitude = 0.00424; Faza = 44.7912 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2687   X = 1984 mm; Y = 747 mm; Amplitude = 0.0037718; Faza = 46.7859 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2688   X = 1984 mm; Y = 747 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2689   X = 1984 mm; Y = 749 mm; Amplitude = 0.00433344; Faza = 40.5578 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2690   X = 1984 mm; Y = 749 mm; Amplitude = 0.00380555; Faza = 42.1021 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2691   X = 1984 mm; Y = 749 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2692   X = 1984 mm; Y = 751 mm; Amplitude = 0.00438256; Faza = 37.2434 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2693   X = 1984 mm; Y = 751 mm; Amplitude = 0.00383125; Faza = 38.1614 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2694   X = 1984 mm; Y = 751 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2695   X = 1984 mm; Y = 753 mm; Amplitude = 0.00437244; Faza = 34.6686 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2696   X = 1984 mm; Y = 753 mm; Amplitude = 0.00383598; Faza = 34.872 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2697   X = 1984 mm; Y = 753 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2698   X = 1984 mm; Y = 755 mm; Amplitude = 0.00429673; Faza = 32.6213 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2699   X = 1984 mm; Y = 755 mm; Amplitude = 0.00381098; Faza = 32.0722 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2700   X = 1984 mm; Y = 755 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2701   X = 1984 mm; Y = 757 mm; Amplitude = 0.00415689; Faza = 30.8621 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2702   X = 1984 mm; Y = 757 mm; Amplitude = 0.00375195; Faza = 29.5513 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2703   X = 1984 mm; Y = 757 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2704   X = 1984 mm; Y = 759 mm; Amplitude = 0.00396091; Faza = 29.1121 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2705   X = 1984 mm; Y = 759 mm; Amplitude = 0.0036588; Faza = 27.0601 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2706   X = 1984 mm; Y = 759 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2707   X = 1984 mm; Y = 761 mm; Amplitude = 0.00372205; Faza = 27.0333 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2708   X = 1984 mm; Y = 761 mm; Amplitude = 0.00353541; Faza = 24.3138 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2709   X = 1984 mm; Y = 761 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2710   X = 1984 mm; Y = 763 mm; Amplitude = 0.00345824; Faza = 24.2106 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2711   X = 1984 mm; Y = 763 mm; Amplitude = 0.00338964; Faza = 20.9958 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2712   X = 1984 mm; Y = 763 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2713   X = 1984 mm; Y = 765 mm; Amplitude = 0.0031925; Faza = 20.1518 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2714   X = 1984 mm; Y = 765 mm; Amplitude = 0.00323382; Faza = 16.7713 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2715   X = 1984 mm; Y = 765 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2716   X = 1984 mm; Y = 767 mm; Amplitude = 0.00295436; Faza = 14.3507 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2717   X = 1984 mm; Y = 767 mm; Amplitude = 0.00308541; Faza = 11.3287 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2718   X = 1984 mm; Y = 767 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2719   X = 1984 mm; Y = 769 mm; Amplitude = 0.00278054; Faza = 6.48677 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2720   X = 1984 mm; Y = 769 mm; Amplitude = 0.0029671; Faza = 4.47143 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2721   X = 1984 mm; Y = 769 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2722   X = 1984 mm; Y = 771 mm; Amplitude = 0.00271071; Faza = -3.21804 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2723   X = 1984 mm; Y = 771 mm; Amplitude = 0.00290451; Faza = -3.73863 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2724   X = 1984 mm; Y = 771 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2725   X = 1984 mm; Y = 773 mm; Amplitude = 0.00277429; Faza = -13.7681 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2726   X = 1984 mm; Y = 773 mm; Amplitude = 0.00292023; Faza = -12.8641 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2727   X = 1984 mm; Y = 773 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2728   X = 1984 mm; Y = 775 mm; Amplitude = 0.0029748; Faza = -23.7857 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2729   X = 1984 mm; Y = 775 mm; Amplitude = 0.00302535; Faza = -22.1602 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2730   X = 1984 mm; Y = 775 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2731   X = 1984 mm; Y = 777 mm; Amplitude = 0.00328707; Faza = -32.3069 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2732   X = 1984 mm; Y = 777 mm; Amplitude = 0.00321392; Faza = -30.8717 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2733   X = 1984 mm; Y = 777 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2734   X = 1984 mm; Y = 779 mm; Amplitude = 0.00366933; Faza = -39.1048 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2735   X = 1984 mm; Y = 779 mm; Amplitude = 0.00346468; Faza = -38.529 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2736   X = 1984 mm; Y = 779 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2737   X = 1984 mm; Y = 781 mm; Amplitude = 0.00407659; Faza = -44.4328 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2738   X = 1984 mm; Y = 781 mm; Amplitude = 0.00374799; Faza = -45.0173 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2739   X = 1984 mm; Y = 781 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2740   X = 1984 mm; Y = 783 mm; Amplitude = 0.00446775; Faza = -48.6927 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2741   X = 1984 mm; Y = 783 mm; Amplitude = 0.00403277; Faza = -50.4617 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2742   X = 1984 mm; Y = 783 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2743   X = 1984 mm; Y = 785 mm; Amplitude = 0.00480813; Faza = -52.2653 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2744   X = 1984 mm; Y = 785 mm; Amplitude = 0.00429098; Faza = -55.0904 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2745   X = 1984 mm; Y = 785 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2746   X = 1984 mm; Y = 787 mm; Amplitude = 0.00507059; Faza = -55.4663 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2747   X = 1984 mm; Y = 787 mm; Amplitude = 0.00449997; Faza = -59.1493 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2748   X = 1984 mm; Y = 787 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2749   X = 1984 mm; Y = 789 mm; Amplitude = 0.00523639; Faza = -58.5542 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2750   X = 1984 mm; Y = 789 mm; Amplitude = 0.00464354; Faza = -62.8684 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2751   X = 1984 mm; Y = 789 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2752   X = 1984 mm; Y = 791 mm; Amplitude = 0.00529602; Faza = -61.7517 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2753   X = 1984 mm; Y = 791 mm; Amplitude = 0.00471262; Faza = -66.4563 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2754   X = 1984 mm; Y = 791 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2755   X = 1984 mm; Y = 793 mm; Amplitude = 0.00524993; Faza = -65.2667 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2756   X = 1984 mm; Y = 793 mm; Amplitude = 0.00470538; Faza = -70.1061 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2757   X = 1984 mm; Y = 793 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2758   X = 1984 mm; Y = 795 mm; Amplitude = 0.00510891; Faza = -69.3088 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2759   X = 1984 mm; Y = 795 mm; Amplitude = 0.00462725; Faza = -74.0027 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2760   X = 1984 mm; Y = 795 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2761   X = 1984 mm; Y = 797 mm; Amplitude = 0.0048939; Faza = -74.0949 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2762   X = 1984 mm; Y = 797 mm; Amplitude = 0.00449054; Faza = -78.3272 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2763   X = 1984 mm; Y = 797 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2764   X = 1984 mm; Y = 799 mm; Amplitude = 0.00463518; Faza = -79.8365 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2765   X = 1984 mm; Y = 799 mm; Amplitude = 0.00431364; Faza = -83.2513 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2766   X = 1984 mm; Y = 799 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2767   X = 1984 mm; Y = 801 mm; Amplitude = 0.0043703; Faza = -86.692 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2768   X = 1984 mm; Y = 801 mm; Amplitude = 0.00411976; Faza = -88.9164 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2769   X = 1984 mm; Y = 801 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2770   X = 1984 mm; Y = 803 mm; Amplitude = 0.00413976; Faza = -94.6726 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2771   X = 1984 mm; Y = 803 mm; Amplitude = 0.00393472; Faza = -95.3915 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2772   X = 1984 mm; Y = 803 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2773   X = 1984 mm; Y = 805 mm; Amplitude = 0.00397967; Faza = -103.526 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2774   X = 1984 mm; Y = 805 mm; Amplitude = 0.00378358; Faza = -102.615 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2775   X = 1984 mm; Y = 805 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2776   X = 1984 mm; Y = 807 mm; Amplitude = 0.00391215; Faza = -112.697 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2777   X = 1984 mm; Y = 807 mm; Amplitude = 0.00368608; Faza = -110.352 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2778   X = 1984 mm; Y = 807 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2779   X = 1984 mm; Y = 809 mm; Amplitude = 0.00393825; Faza = -121.473 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2780   X = 1984 mm; Y = 809 mm; Amplitude = 0.00365197; Faza = -118.213 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2781   X = 1984 mm; Y = 809 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2782   X = 1984 mm; Y = 811 mm; Amplitude = 0.00403873; Faza = -129.26 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2783   X = 1984 mm; Y = 811 mm; Amplitude = 0.00367862; Faza = -125.765 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2784   X = 1984 mm; Y = 811 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2785   X = 1984 mm; Y = 813 mm; Amplitude = 0.00418245; Faza = -135.77 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2786   X = 1984 mm; Y = 813 mm; Amplitude = 0.00375218; Faza = -132.67 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2787   X = 1984 mm; Y = 813 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2788   X = 1984 mm; Y = 815 mm; Amplitude = 0.00433618; Faza = -141.018 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2789   X = 1984 mm; Y = 815 mm; Amplitude = 0.00385191; Faza = -138.772 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2790   X = 1984 mm; Y = 815 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2791   X = 1984 mm; Y = 817 mm; Amplitude = 0.00447087; Faza = -145.21 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2792   X = 1984 mm; Y = 817 mm; Amplitude = 0.00395501; Faza = -144.092 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2793   X = 1984 mm; Y = 817 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2794   X = 1984 mm; Y = 819 mm; Amplitude = 0.00456395; Faza = -148.639 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
2795   X = 1984 mm; Y = 819 mm; Amplitude = 0.00404029; Faza = -148.781 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
2796   X = 1984 mm; Y = 819 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
2797   X = 1984 mm; Y = 821 mm; Amplitude = 0.00459935; Faza = -151.626 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
