Frequence = 0.6 Ghz;
N = 12378;
1.
1   X = 200 mm; Y = 210 mm; Amplitude = 0.00146745; Faza = 55.0035 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1020   X = 200 mm; Y = 6990 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1021   X = 200 mm; Y = 7010 mm; Amplitude = 0.00212234; Faza = 48.6082 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1022   X = 200 mm; Y = 7010 mm; Amplitude = 0.0021116; Faza = -133.998 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1023   X = 200 mm; Y = 7010 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1024   X = 200 mm; Y = 7030 mm; Amplitude = 0.0021438; Faza = 46.4467 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1025   X = 200 mm; Y = 7030 mm; Amplitude = 0.00212018; Faza = -136.17 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1026   X = 200 mm; Y = 7030 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1027   X = 200 mm; Y = 7050 mm; Amplitude = 0.00216568; Faza = 44.1451 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1028   X = 200 mm; Y = 7050 mm; Amplitude = 0.00212822; Faza = -138.433 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1029   X = 200 mm; Y = 7050 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1030   X = 200 mm; Y = 7070 mm; Amplitude = 0.00218762; Faza = 41.719 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1031   X = 200 mm; Y = 7070 mm; Amplitude = 0.00213561; Faza = -140.779 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1032   X = 200 mm; Y = 7070 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1033   X = 200 mm; Y = 7090 mm; Amplitude = 0.00220921; Faza = 39.1861 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1034   X = 200 mm; Y = 7090 mm; Amplitude = 0.00214227; Faza = -143.197 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1035   X = 200 mm; Y = 7090 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1036   X = 200 mm; Y = 7110 mm; Amplitude = 0.00223002; Faza = 36.5648 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1037   X = 200 mm; Y = 7110 mm; Amplitude = 0.00214808; Faza = -145.676 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1038   X = 200 mm; Y = 7110 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1039   X = 200 mm; Y = 7130 mm; Amplitude = 0.00224958; Faza = 33.8734 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1040   X = 200 mm; Y = 7130 mm; Amplitude = 0.00215296; Faza = -148.204 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1041   X = 200 mm; Y = 7130 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1042   X = 200 mm; Y = 7150 mm; Amplitude = 0.00226742; Faza = 31.1297 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1043   X = 200 mm; Y = 7150 mm; Amplitude = 0.00215679; Faza = -150.769 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1044   X = 200 mm; Y = 7150 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1045   X = 200 mm; Y = 7170 mm; Amplitude = 0.00228307; Faza = 28.3499 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1046   X = 200 mm; Y = 7170 mm; Amplitude = 0.00215946; Faza = -153.359 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1047   X = 200 mm; Y = 7170 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1048   X = 200 mm; Y = 7190 mm; Amplitude = 0.00229605; Faza = 25.5487 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1049   X = 200 mm; Y = 7190 mm; Amplitude = 0.00216085; Faza = -155.961 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1050   X = 200 mm; Y = 7190 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1051   X = 200 mm; Y = 7210 mm; Amplitude = 0.00230593; Faza = 22.7387 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1052   X = 200 mm; Y = 7210 mm; Amplitude = 0.00216084; Faza = -158.565 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1053   X = 200 mm; Y = 7210 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1054   X = 200 mm; Y = 7230 mm; Amplitude = 0.00231233; Faza = 19.9305 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1055   X = 200 mm; Y = 7230 mm; Amplitude = 0.00215931; Faza = -161.162 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1056   X = 200 mm; Y = 7230 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1057   X = 200 mm; Y = 7250 mm; Amplitude = 0.00231496; Faza = 17.1328 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1058   X = 200 mm; Y = 7250 mm; Amplitude = 0.00215616; Faza = -163.741 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1059   X = 200 mm; Y = 7250 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1060   X = 200 mm; Y = 7270 mm; Amplitude = 0.00231362; Faza = 14.3524 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1061   X = 200 mm; Y = 7270 mm; Amplitude = 0.00215133; Faza = -166.297 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1062   X = 200 mm; Y = 7270 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1063   X = 200 mm; Y = 7290 mm; Amplitude = 0.00230823; Faza = 11.5947 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1064   X = 200 mm; Y = 7290 mm; Amplitude = 0.00214478; Faza = -168.824 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1065   X = 200 mm; Y = 7290 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1066   X = 200 mm; Y = 7310 mm; Amplitude = 0.00229884; Faza = 8.86383 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1067   X = 200 mm; Y = 7310 mm; Amplitude = 0.00213654; Faza = -171.318 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1068   X = 200 mm; Y = 7310 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1069   X = 200 mm; Y = 7330 mm; Amplitude = 0.00228562; Faza = 6.16321 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1070   X = 200 mm; Y = 7330 mm; Amplitude = 0.00212666; Faza = -173.777 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1071   X = 200 mm; Y = 7330 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1072   X = 200 mm; Y = 7350 mm; Amplitude = 0.00226889; Faza = 3.49568 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1073   X = 200 mm; Y = 7350 mm; Amplitude = 0.00211529; Faza = -176.2 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1074   X = 200 mm; Y = 7350 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1075   X = 200 mm; Y = 7370 mm; Amplitude = 0.00224906; Faza = 0.863929 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1076   X = 200 mm; Y = 7370 mm; Amplitude = 0.00210259; Faza = -178.587 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1077   X = 200 mm; Y = 7370 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1078   X = 200 mm; Y = 7390 mm; Amplitude = 0.00222666; Faza = -1.72936 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1079   X = 200 mm; Y = 7390 mm; Amplitude = 0.00208881; Faza = -180.941 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1080   X = 200 mm; Y = 7390 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1081   X = 200 mm; Y = 7410 mm; Amplitude = 0.00220227; Faza = -4.28134 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1082   X = 200 mm; Y = 7410 mm; Amplitude = 0.00207425; Faza = -183.265 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1083   X = 200 mm; Y = 7410 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1084   X = 200 mm; Y = 7430 mm; Amplitude = 0.00217656; Faza = -6.78897 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1085   X = 200 mm; Y = 7430 mm; Amplitude = 0.00205921; Faza = -185.561 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1086   X = 200 mm; Y = 7430 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1087   X = 200 mm; Y = 7450 mm; Amplitude = 0.00215022; Faza = -9.24911 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1088   X = 200 mm; Y = 7450 mm; Amplitude = 0.00204406; Faza = -187.836 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1089   X = 200 mm; Y = 7450 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1090   X = 200 mm; Y = 7470 mm; Amplitude = 0.00212392; Faza = -11.6588 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1091   X = 200 mm; Y = 7470 mm; Amplitude = 0.00202916; Faza = -190.093 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1092   X = 200 mm; Y = 7470 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1093   X = 200 mm; Y = 7490 mm; Amplitude = 0.00209833; Faza = -14.0155 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1094   X = 200 mm; Y = 7490 mm; Amplitude = 0.00201487; Faza = -192.338 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1095   X = 200 mm; Y = 7490 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1096   X = 200 mm; Y = 7510 mm; Amplitude = 0.00207407; Faza = -16.3177 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1097   X = 200 mm; Y = 7510 mm; Amplitude = 0.00200153; Faza = -194.578 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1098   X = 200 mm; Y = 7510 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1099   X = 200 mm; Y = 7530 mm; Amplitude = 0.0020517; Faza = -18.5651 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1100   X = 200 mm; Y = 7530 mm; Amplitude = 0.00198946; Faza = -196.817 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1101   X = 200 mm; Y = 7530 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1102   X = 200 mm; Y = 7550 mm; Amplitude = 0.00203169; Faza = -20.7596 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1103   X = 200 mm; Y = 7550 mm; Amplitude = 0.00197892; Faza = -199.064 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1104   X = 200 mm; Y = 7550 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1105   X = 200 mm; Y = 7570 mm; Amplitude = 0.00201442; Faza = -22.9051 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1106   X = 200 mm; Y = 7570 mm; Amplitude = 0.00197012; Faza = -201.323 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1107   X = 200 mm; Y = 7570 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1108   X = 200 mm; Y = 7590 mm; Amplitude = 0.00200016; Faza = -25.0087 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1109   X = 200 mm; Y = 7590 mm; Amplitude = 0.0019632; Faza = -203.601 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1110   X = 200 mm; Y = 7590 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1111   X = 200 mm; Y = 7610 mm; Amplitude = 0.0019891; Faza = -27.0798 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1112   X = 200 mm; Y = 7610 mm; Amplitude = 0.00195825; Faza = -205.904 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1113   X = 200 mm; Y = 7610 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1114   X = 200 mm; Y = 7630 mm; Amplitude = 0.0019813; Faza = -29.131 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1115   X = 200 mm; Y = 7630 mm; Amplitude = 0.00195527; Faza = -208.239 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1116   X = 200 mm; Y = 7630 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1117   X = 200 mm; Y = 7650 mm; Amplitude = 0.00197675; Faza = -31.1772 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1118   X = 200 mm; Y = 7650 mm; Amplitude = 0.0019542; Faza = -210.611 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1119   X = 200 mm; Y = 7650 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1120   X = 200 mm; Y = 7670 mm; Amplitude = 0.00197532; Faza = -33.2353 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1121   X = 200 mm; Y = 7670 mm; Amplitude = 0.00195491; Faza = -213.027 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1122   X = 200 mm; Y = 7670 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1123   X = 200 mm; Y = 7690 mm; Amplitude = 0.00197683; Faza = -35.3235 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1124   X = 200 mm; Y = 7690 mm; Amplitude = 0.00195724; Faza = -215.492 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1125   X = 200 mm; Y = 7690 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1126   X = 200 mm; Y = 7710 mm; Amplitude = 0.00198103; Faza = -37.4606 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1127   X = 200 mm; Y = 7710 mm; Amplitude = 0.00196095; Faza = -218.011 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1128   X = 200 mm; Y = 7710 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1129   X = 200 mm; Y = 7730 mm; Amplitude = 0.00198762; Faza = -39.6649 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1130   X = 200 mm; Y = 7730 mm; Amplitude = 0.00196579; Faza = -220.59 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1131   X = 200 mm; Y = 7730 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1132   X = 200 mm; Y = 7750 mm; Amplitude = 0.0019963; Faza = -41.9537 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1133   X = 200 mm; Y = 7750 mm; Amplitude = 0.0019715; Faza = -223.233 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1134   X = 200 mm; Y = 7750 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1135   X = 200 mm; Y = 7770 mm; Amplitude = 0.00200673; Faza = -44.3422 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1136   X = 200 mm; Y = 7770 mm; Amplitude = 0.0019778; Faza = -225.944 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1137   X = 200 mm; Y = 7770 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1138   X = 200 mm; Y = 7790 mm; Amplitude = 0.00201862; Faza = -46.8431 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1139   X = 200 mm; Y = 7790 mm; Amplitude = 0.00198444; Faza = -228.728 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1140   X = 200 mm; Y = 7790 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1141   X = 200 mm; Y = 7810 mm; Amplitude = 0.00203168; Faza = -49.4661 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1142   X = 200 mm; Y = 7810 mm; Amplitude = 0.00199116; Faza = -231.586 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1143   X = 200 mm; Y = 7810 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1144   X = 200 mm; Y = 7830 mm; Amplitude = 0.00204566; Faza = -52.2172 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1145   X = 200 mm; Y = 7830 mm; Amplitude = 0.00199776; Faza = -234.521 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1146   X = 200 mm; Y = 7830 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1147   X = 200 mm; Y = 7850 mm; Amplitude = 0.00206035; Faza = -55.0988 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1148   X = 200 mm; Y = 7850 mm; Amplitude = 0.00200405; Faza = -237.533 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1149   X = 200 mm; Y = 7850 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1150   X = 200 mm; Y = 7870 mm; Amplitude = 0.00207557; Faza = -58.1098 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1151   X = 200 mm; Y = 7870 mm; Amplitude = 0.0020099; Faza = -240.622 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1152   X = 200 mm; Y = 7870 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1153   X = 200 mm; Y = 7890 mm; Amplitude = 0.00209116; Faza = -61.2451 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1154   X = 200 mm; Y = 7890 mm; Amplitude = 0.0020152; Faza = -243.784 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1155   X = 200 mm; Y = 7890 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1156   X = 200 mm; Y = 7910 mm; Amplitude = 0.00210697; Faza = -64.4965 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1157   X = 200 mm; Y = 7910 mm; Amplitude = 0.00201988; Faza = -247.017 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1158   X = 200 mm; Y = 7910 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1159   X = 200 mm; Y = 7930 mm; Amplitude = 0.00212284; Faza = -67.8529 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1160   X = 200 mm; Y = 7930 mm; Amplitude = 0.0020239; Faza = -250.316 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1161   X = 200 mm; Y = 7930 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1162   X = 200 mm; Y = 7950 mm; Amplitude = 0.00213856; Faza = -71.3009 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1163   X = 200 mm; Y = 7950 mm; Amplitude = 0.00202721; Faza = -253.674 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1164   X = 200 mm; Y = 7950 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1165   X = 200 mm; Y = 7970 mm; Amplitude = 0.00215392; Faza = -74.8257 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1166   X = 200 mm; Y = 7970 mm; Amplitude = 0.00202981; Faza = -257.084 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1167   X = 200 mm; Y = 7970 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1168   X = 200 mm; Y = 7990 mm; Amplitude = 0.00216863; Faza = -78.4119 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1169   X = 200 mm; Y = 7990 mm; Amplitude = 0.00203165; Faza = -260.536 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1170   X = 200 mm; Y = 7990 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1171   X = 200 mm; Y = 8010 mm; Amplitude = 0.00218235; Faza = -82.0439 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1172   X = 200 mm; Y = 8010 mm; Amplitude = 0.00203271; Faza = -264.022 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1173   X = 200 mm; Y = 8010 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1174   X = 200 mm; Y = 8030 mm; Amplitude = 0.00219471; Faza = -85.7075 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1175   X = 200 mm; Y = 8030 mm; Amplitude = 0.00203293; Faza = -267.531 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1176   X = 200 mm; Y = 8030 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1177   X = 200 mm; Y = 8050 mm; Amplitude = 0.0022053; Faza = -89.3896 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1178   X = 200 mm; Y = 8050 mm; Amplitude = 0.00203223; Faza = 88.945 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1179   X = 200 mm; Y = 8050 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1180   X = 200 mm; Y = 8070 mm; Amplitude = 0.0022137; Faza = -93.0793 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1181   X = 200 mm; Y = 8070 mm; Amplitude = 0.00203053; Faza = 85.4165 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1182   X = 200 mm; Y = 8070 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1183   X = 200 mm; Y = 8090 mm; Amplitude = 0.0022195; Faza = -96.7678 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1184   X = 200 mm; Y = 8090 mm; Amplitude = 0.00202772; Faza = 81.8914 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1185   X = 200 mm; Y = 8090 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1186   X = 200 mm; Y = 8110 mm; Amplitude = 0.00222234; Faza = -100.449 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1187   X = 200 mm; Y = 8110 mm; Amplitude = 0.0020237; Faza = 78.3769 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1188   X = 200 mm; Y = 8110 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1189   X = 200 mm; Y = 8130 mm; Amplitude = 0.00222193; Faza = -104.119 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1190   X = 200 mm; Y = 8130 mm; Amplitude = 0.00201836; Faza = 74.8785 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1191   X = 200 mm; Y = 8130 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1192   X = 200 mm; Y = 8150 mm; Amplitude = 0.00221807; Faza = -107.775 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1193   X = 200 mm; Y = 8150 mm; Amplitude = 0.00201164; Faza = 71.4005 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1194   X = 200 mm; Y = 8150 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1195   X = 200 mm; Y = 8170 mm; Amplitude = 0.00221069; Faza = -111.417 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1196   X = 200 mm; Y = 8170 mm; Amplitude = 0.00200347; Faza = 67.9454 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1197   X = 200 mm; Y = 8170 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1198   X = 200 mm; Y = 8190 mm; Amplitude = 0.00219983; Faza = -115.045 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1199   X = 200 mm; Y = 8190 mm; Amplitude = 0.00199386; Faza = 64.5139 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
1200   X = 200 mm; Y = 8190 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
1201   X = 200 mm; Y = 8210 mm; Amplitude = 0.00218566; Faza = -118.662 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
1202   X = 200 mm; Y = 8210 mm; Amplitude = 0.00198286; Faza = 61.1055 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
