Frequence = 0.6 Ghz;
N = 12378;
1.
1   X = 200 mm; Y = 210 mm; Amplitude = 0.00286564; Faza = -42.1737 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
3371   X = 20540 mm; Y = 1750 mm; Amplitude = 1.92134e-006; Faza = -176.952 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3372   X = 20540 mm; Y = 1750 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3373   X = 20540 mm; Y = 1770 mm; Amplitude = 4.08765e-006; Faza = -147.899 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3374   X = 20540 mm; Y = 1770 mm; Amplitude = 2.36668e-006; Faza = -169.54 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3375   X = 20540 mm; Y = 1770 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3376   X = 20540 mm; Y = 1790 mm; Amplitude = 4.44242e-006; Faza = -140.853 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3377   X = 20540 mm; Y = 1790 mm; Amplitude = 2.74084e-006; Faza = -162.986 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3378   X = 20540 mm; Y = 1790 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3379   X = 20540 mm; Y = 1810 mm; Amplitude = 4.67846e-006; Faza = -134.148 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3380   X = 20540 mm; Y = 1810 mm; Amplitude = 3.03184e-006; Faza = -156.753 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3381   X = 20540 mm; Y = 1810 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3382   X = 20540 mm; Y = 1830 mm; Amplitude = 4.78867e-006; Faza = -127.522 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3383   X = 20540 mm; Y = 1830 mm; Amplitude = 3.23242e-006; Faza = -150.552 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3384   X = 20540 mm; Y = 1830 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3385   X = 20540 mm; Y = 1850 mm; Amplitude = 4.77283e-006; Faza = -120.745 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3386   X = 20540 mm; Y = 1850 mm; Amplitude = 3.34061e-006; Faza = -144.162 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3387   X = 20540 mm; Y = 1850 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3388   X = 20540 mm; Y = 1870 mm; Amplitude = 4.63805e-006; Faza = -113.59 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3389   X = 20540 mm; Y = 1870 mm; Amplitude = 3.35887e-006; Faza = -137.399 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3390   X = 20540 mm; Y = 1870 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3391   X = 20540 mm; Y = 1890 mm; Amplitude = 4.39951e-006; Faza = -105.798 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3392   X = 20540 mm; Y = 1890 mm; Amplitude = 3.29569e-006; Faza = -130.054 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3393   X = 20540 mm; Y = 1890 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3394   X = 20540 mm; Y = 1910 mm; Amplitude = 4.07985e-006; Faza = -97.0344 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3395   X = 20540 mm; Y = 1910 mm; Amplitude = 3.16514e-006; Faza = -121.89 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3396   X = 20540 mm; Y = 1910 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3397   X = 20540 mm; Y = 1930 mm; Amplitude = 3.71076e-006; Faza = -86.9039 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3398   X = 20540 mm; Y = 1930 mm; Amplitude = 2.98578e-006; Faza = -112.651 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3399   X = 20540 mm; Y = 1930 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3400   X = 20540 mm; Y = 1950 mm; Amplitude = 3.33301e-006; Faza = -74.8997 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3401   X = 20540 mm; Y = 1950 mm; Amplitude = 2.78259e-006; Faza = -102.048 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3402   X = 20540 mm; Y = 1950 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3403   X = 20540 mm; Y = 1970 mm; Amplitude = 2.99558e-006; Faza = -60.6172 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3404   X = 20540 mm; Y = 1970 mm; Amplitude = 2.5848e-006; Faza = -89.8612 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3405   X = 20540 mm; Y = 1970 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3406   X = 20540 mm; Y = 1990 mm; Amplitude = 2.75011e-006; Faza = -44.047 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3407   X = 20540 mm; Y = 1990 mm; Amplitude = 2.42196e-006; Faza = -76.0928 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3408   X = 20540 mm; Y = 1990 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3409   X = 20540 mm; Y = 2010 mm; Amplitude = 2.63429e-006; Faza = -26.0663 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3410   X = 20540 mm; Y = 2010 mm; Amplitude = 2.318e-006; Faza = -61.142 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3411   X = 20540 mm; Y = 2010 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3412   X = 20540 mm; Y = 2030 mm; Amplitude = 2.65011e-006; Faza = -8.32879 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3413   X = 20540 mm; Y = 2030 mm; Amplitude = 2.28325e-006; Faza = -45.8399 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3414   X = 20540 mm; Y = 2030 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3415   X = 20540 mm; Y = 2050 mm; Amplitude = 2.7619e-006; Faza = 7.72045 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3416   X = 20540 mm; Y = 2050 mm; Amplitude = 2.30883e-006; Faza = -31.1394 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3417   X = 20540 mm; Y = 2050 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3418   X = 20540 mm; Y = 2070 mm; Amplitude = 2.91222e-006; Faza = 21.5719 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3419   X = 20540 mm; Y = 2070 mm; Amplitude = 2.37018e-006; Faza = -17.6664 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3420   X = 20540 mm; Y = 2070 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3421   X = 20540 mm; Y = 2090 mm; Amplitude = 3.05056e-006; Faza = 33.4552 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3422   X = 20540 mm; Y = 2090 mm; Amplitude = 2.43799e-006; Faza = -5.57332 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3423   X = 20540 mm; Y = 2090 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3424   X = 20540 mm; Y = 2110 mm; Amplitude = 3.13755e-006; Faza = 43.9026 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3425   X = 20540 mm; Y = 2110 mm; Amplitude = 2.48587e-006; Faza = 5.28366 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3426   X = 20540 mm; Y = 2110 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3427   X = 20540 mm; Y = 2130 mm; Amplitude = 3.14986e-006; Faza = 53.4533 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3428   X = 20540 mm; Y = 2130 mm; Amplitude = 2.49417e-006; Faza = 15.254 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3429   X = 20540 mm; Y = 2130 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3430   X = 20540 mm; Y = 2150 mm; Amplitude = 3.0767e-006; Faza = 62.6106 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3431   X = 20540 mm; Y = 2150 mm; Amplitude = 2.45089e-006; Faza = 24.6893 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3432   X = 20540 mm; Y = 2150 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3433   X = 20540 mm; Y = 2170 mm; Amplitude = 2.91809e-006; Faza = 71.8744 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3434   X = 20540 mm; Y = 2170 mm; Amplitude = 2.35162e-006; Faza = 33.9893 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3435   X = 20540 mm; Y = 2170 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3436   X = 20540 mm; Y = 2190 mm; Amplitude = 2.68481e-006; Faza = 81.7773 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3437   X = 20540 mm; Y = 2190 mm; Amplitude = 2.1997e-006; Faza = 43.5968 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3438   X = 20540 mm; Y = 2190 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3439   X = 20540 mm; Y = 2210 mm; Amplitude = 2.39736e-006; Faza = 93.0254 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3440   X = 20540 mm; Y = 2210 mm; Amplitude = 2.0039e-006; Faza = 54.0017 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3441   X = 20540 mm; Y = 2210 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3442   X = 20540 mm; Y = 2230 mm; Amplitude = 2.08817e-006; Faza = 106.542 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3443   X = 20540 mm; Y = 2230 mm; Amplitude = 1.78181e-006; Faza = 65.8856 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3444   X = 20540 mm; Y = 2230 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3445   X = 20540 mm; Y = 2250 mm; Amplitude = 1.80435e-006; Faza = 123.481 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3446   X = 20540 mm; Y = 2250 mm; Amplitude = 1.55659e-006; Faza = 80.0728 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3447   X = 20540 mm; Y = 2250 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3448   X = 20540 mm; Y = 2270 mm; Amplitude = 1.6072e-006; Faza = 144.504 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3449   X = 20540 mm; Y = 2270 mm; Amplitude = 1.36142e-006; Faza = -262.549 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3450   X = 20540 mm; Y = 2270 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3451   X = 20540 mm; Y = 2290 mm; Amplitude = 1.55276e-006; Faza = 168.118 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3452   X = 20540 mm; Y = 2290 mm; Amplitude = 1.2364e-006; Faza = -241.824 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3453   X = 20540 mm; Y = 2290 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3454   X = 20540 mm; Y = 2310 mm; Amplitude = 1.64854e-006; Faza = -169.478 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3455   X = 20540 mm; Y = 2310 mm; Amplitude = 1.20899e-006; Faza = -219.464 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3456   X = 20540 mm; Y = 2310 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3457   X = 20540 mm; Y = 2330 mm; Amplitude = 1.84211e-006; Faza = -150.946 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3458   X = 20540 mm; Y = 2330 mm; Amplitude = 1.27565e-006; Faza = -198.612 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3459   X = 20540 mm; Y = 2330 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3460   X = 20540 mm; Y = 2350 mm; Amplitude = 2.06743e-006; Faza = -136.282 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3461   X = 20540 mm; Y = 2350 mm; Amplitude = 1.39917e-006; Faza = -181.068 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3462   X = 20540 mm; Y = 2350 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3463   X = 20540 mm; Y = 2370 mm; Amplitude = 2.27249e-006; Faza = -124.382 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3464   X = 20540 mm; Y = 2370 mm; Amplitude = 1.53765e-006; Faza = -166.783 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3465   X = 20540 mm; Y = 2370 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3466   X = 20540 mm; Y = 2390 mm; Amplitude = 2.42474e-006; Faza = -114.219 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3467   X = 20540 mm; Y = 2390 mm; Amplitude = 1.65818e-006; Faza = -154.908 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3468   X = 20540 mm; Y = 2390 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3469   X = 20540 mm; Y = 2410 mm; Amplitude = 2.50546e-006; Faza = -105.009 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3470   X = 20540 mm; Y = 2410 mm; Amplitude = 1.74021e-006; Faza = -144.538 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3471   X = 20540 mm; Y = 2410 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3472   X = 20540 mm; Y = 2430 mm; Amplitude = 2.50645e-006; Faza = -96.17 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3473   X = 20540 mm; Y = 2430 mm; Amplitude = 1.77147e-006; Faza = -135.018 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3474   X = 20540 mm; Y = 2430 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3475   X = 20540 mm; Y = 2450 mm; Amplitude = 2.42832e-006; Faza = -87.1988 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3476   X = 20540 mm; Y = 2450 mm; Amplitude = 1.74865e-006; Faza = -125.758 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3477   X = 20540 mm; Y = 2450 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3478   X = 20540 mm; Y = 2470 mm; Amplitude = 2.27948e-006; Faza = -77.5679 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3479   X = 20540 mm; Y = 2470 mm; Amplitude = 1.67168e-006; Faza = -116.294 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3480   X = 20540 mm; Y = 2470 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3481   X = 20540 mm; Y = 2490 mm; Amplitude = 2.07642e-006; Faza = -66.6513 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3482   X = 20540 mm; Y = 2490 mm; Amplitude = 1.54868e-006; Faza = -106.046 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3483   X = 20540 mm; Y = 2490 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3484   X = 20540 mm; Y = 2510 mm; Amplitude = 1.84601e-006; Faza = -53.5681 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3485   X = 20540 mm; Y = 2510 mm; Amplitude = 1.38973e-006; Faza = -94.3101 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3486   X = 20540 mm; Y = 2510 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3487   X = 20540 mm; Y = 2530 mm; Amplitude = 1.6265e-006; Faza = -37.324 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3488   X = 20540 mm; Y = 2530 mm; Amplitude = 1.21616e-006; Faza = -80.0528 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3489   X = 20540 mm; Y = 2530 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3490   X = 20540 mm; Y = 2550 mm; Amplitude = 1.47064e-006; Faza = -17.2683 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3491   X = 20540 mm; Y = 2550 mm; Amplitude = 1.05835e-006; Faza = -62.0167 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3492   X = 20540 mm; Y = 2550 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3493   X = 20540 mm; Y = 2570 mm; Amplitude = 1.42904e-006; Faza = 5.41105 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3494   X = 20540 mm; Y = 2570 mm; Amplitude = 9.56402e-007; Faza = -39.4721 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3495   X = 20540 mm; Y = 2570 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3496   X = 20540 mm; Y = 2590 mm; Amplitude = 1.51848e-006; Faza = 27.3792 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3497   X = 20540 mm; Y = 2590 mm; Amplitude = 9.51208e-007; Faza = -14.3469 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3498   X = 20540 mm; Y = 2590 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3499   X = 20540 mm; Y = 2610 mm; Amplitude = 1.70755e-006; Faza = 45.9038 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3500   X = 20540 mm; Y = 2610 mm; Amplitude = 1.04963e-006; Faza = 9.00662 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3501   X = 20540 mm; Y = 2610 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3502   X = 20540 mm; Y = 2630 mm; Amplitude = 1.94256e-006; Faza = 60.686 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3503   X = 20540 mm; Y = 2630 mm; Amplitude = 1.21933e-006; Faza = 27.8728 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3504   X = 20540 mm; Y = 2630 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3505   X = 20540 mm; Y = 2650 mm; Amplitude = 2.18029e-006; Faza = 72.5703 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3506   X = 20540 mm; Y = 2650 mm; Amplitude = 1.42131e-006; Faza = 42.7201 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3507   X = 20540 mm; Y = 2650 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3508   X = 20540 mm; Y = 2670 mm; Amplitude = 2.39055e-006; Faza = 82.5125 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3509   X = 20540 mm; Y = 2670 mm; Amplitude = 1.62608e-006; Faza = 54.7289 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3510   X = 20540 mm; Y = 2670 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3511   X = 20540 mm; Y = 2690 mm; Amplitude = 2.55497e-006; Faza = 91.1842 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3512   X = 20540 mm; Y = 2690 mm; Amplitude = 1.81621e-006; Faza = 64.9211 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3513   X = 20540 mm; Y = 2690 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3514   X = 20540 mm; Y = 2710 mm; Amplitude = 2.66306e-006; Faza = 99.0254 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3515   X = 20540 mm; Y = 2710 mm; Amplitude = 1.97957e-006; Faza = 73.9334 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3516   X = 20540 mm; Y = 2710 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3517   X = 20540 mm; Y = 2730 mm; Amplitude = 2.71022e-006; Faza = 106.356 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3518   X = 20540 mm; Y = 2730 mm; Amplitude = 2.10973e-006; Faza = 82.184 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3519   X = 20540 mm; Y = 2730 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3520   X = 20540 mm; Y = 2750 mm; Amplitude = 2.69574e-006; Faza = 113.339 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3521   X = 20540 mm; Y = 2750 mm; Amplitude = 2.20396e-006; Faza = 89.9215 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3522   X = 20540 mm; Y = 2750 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3523   X = 20540 mm; Y = 2770 mm; Amplitude = 2.62285e-006; Faza = 120.13 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3524   X = 20540 mm; Y = 2770 mm; Amplitude = 2.25882e-006; Faza = -262.698 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3525   X = 20540 mm; Y = 2770 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3526   X = 20540 mm; Y = 2790 mm; Amplitude = 2.49657e-006; Faza = 126.798 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3527   X = 20540 mm; Y = 2790 mm; Amplitude = 2.27474e-006; Faza = -255.569 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3528   X = 20540 mm; Y = 2790 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3529   X = 20540 mm; Y = 2810 mm; Amplitude = 2.32445e-006; Faza = 133.402 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3530   X = 20540 mm; Y = 2810 mm; Amplitude = 2.25323e-006; Faza = -248.636 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3531   X = 20540 mm; Y = 2810 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3532   X = 20540 mm; Y = 2830 mm; Amplitude = 2.11449e-006; Faza = 139.949 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3533   X = 20540 mm; Y = 2830 mm; Amplitude = 2.19739e-006; Faza = -241.889 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3534   X = 20540 mm; Y = 2830 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3535   X = 20540 mm; Y = 2850 mm; Amplitude = 1.8748e-006; Faza = 146.395 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3536   X = 20540 mm; Y = 2850 mm; Amplitude = 2.10923e-006; Faza = -235.333 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3537   X = 20540 mm; Y = 2850 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3538   X = 20540 mm; Y = 2870 mm; Amplitude = 1.614e-006; Faza = 152.646 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3539   X = 20540 mm; Y = 2870 mm; Amplitude = 1.99256e-006; Faza = -229.021 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3540   X = 20540 mm; Y = 2870 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3541   X = 20540 mm; Y = 2890 mm; Amplitude = 1.33835e-006; Faza = 158.448 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3542   X = 20540 mm; Y = 2890 mm; Amplitude = 1.8508e-006; Faza = -223.058 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3543   X = 20540 mm; Y = 2890 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3544   X = 20540 mm; Y = 2910 mm; Amplitude = 1.05566e-006; Faza = 163.329 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3545   X = 20540 mm; Y = 2910 mm; Amplitude = 1.68624e-006; Faza = -217.547 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
3546   X = 20540 mm; Y = 2910 mm; Amplitude = 0; Faza = 0 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; sin(f)
3547   X = 20540 mm; Y = 2930 mm; Amplitude = 7.71789e-007; Faza = 166.072 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; 1.
3548   X = 20540 mm; Y = 2930 mm; Amplitude = 1.50249e-006; Faza = -212.703 degree; FiMin = -90.001 degree; FiMax = 89.999 degree; cos(f)
